OCCUPANCY_DATE,SERVICE_USER_COUNT,OCCUPANCY_RATE_BEDS,CAPACITY_ACTUAL_BED,PROGRAM_MODEL,SECTOR
2021-01-05,137,6.259294529445469,64,Emergency,Housing
2021-11-19,160,16.55341200530529,82,Emergency,Education
2021-12-06,142,88.14862254075706,67,Emergency,Housing
2018-08-07,133,6.427240581251681,80,Emergency,Health
2021-05-12,163,70.05591990891844,77,Transitional,Housing
2022-02-24,135,10.436147847212851,87,Emergency,Health
2021-10-30,185,75.32850340940058,83,Transitional,Housing
2020-09-18,150,74.64238491374999,81,Transitional,Education
2018-12-30,156,30.04451107699424,70,Emergency,Housing
2019-06-05,161,9.455270180478692,62,Transitional,Education
2020-10-07,151,41.055478900671005,88,Emergency,Housing
2022-11-17,155,76.61732023116201,76,Emergency,Community
2023-12-19,157,91.3300895364955,76,Transitional,Community
2021-10-02,155,43.4205551398918,78,Transitional,Housing
2018-09-30,134,93.13729447312653,73,Emergency,Housing
2020-08-14,137,60.96945186145604,79,Emergency,Education
2022-12-15,140,76.02910117711872,74,Emergency,Health
2021-03-24,153,47.399298078380525,72,Transitional,Housing
2023-10-03,163,39.753124793060124,76,Emergency,Health
2021-07-24,140,60.33213157206774,71,Emergency,Housing
2021-02-03,155,39.05465502757579,84,Emergency,Housing
2023-03-22,141,36.774247558787465,85,Emergency,Education
2020-01-07,156,18.138537951745093,89,Emergency,Community
2020-10-15,144,66.02477498818189,78,Emergency,Housing
2023-03-05,168,12.109697540290654,90,Emergency,Community
2018-04-20,163,19.948445120826364,87,Emergency,Housing
2023-04-19,145,56.64569232612848,77,Transitional,Education
2021-06-10,145,50.47388970851898,65,Emergency,Community
2023-09-18,146,79.32152627035975,76,Transitional,Community
2021-12-23,144,89.2256633611396,85,Transitional,Health
2022-04-18,137,47.16325271874666,74,Emergency,Education
2023-04-25,147,50.96623199060559,82,Emergency,Health
2020-08-11,144,57.25921047851443,91,Transitional,Health
2023-09-14,149,26.544305100105703,74,Emergency,Community
2020-10-14,153,6.982789118774235,76,Transitional,Education
2022-01-18,160,31.226693745702505,94,Transitional,Health
2019-03-08,150,37.17968992423266,67,Transitional,Education
2018-03-03,153,45.88850161526352,71,Transitional,Education
2020-11-14,149,51.80373853072524,86,Transitional,Community
2021-07-31,142,6.7631303099915385,89,Emergency,Education
2023-03-05,158,34.06736375764012,79,Transitional,Housing
2020-06-25,133,84.49213809799403,75,Transitional,Housing
2020-04-16,132,13.251225231215358,67,Emergency,Housing
2019-11-24,156,26.15285764914006,82,Transitional,Community
2018-05-27,135,74.90387321449816,68,Transitional,Community
2019-03-02,146,22.187291854061186,70,Transitional,Community
2020-03-18,165,33.32579855341464,77,Transitional,Health
2019-01-21,138,53.41786267235875,66,Emergency,Housing
2020-11-22,151,82.00823222286999,77,Emergency,Housing
2021-01-10,176,34.32313175871968,77,Transitional,Housing
2023-05-29,172,28.687228285707533,77,Transitional,Community
2018-03-26,162,58.20268352981657,116,Emergency,Health
2021-11-18,124,98.80441210698336,75,Emergency,Housing
2018-03-29,156,5.321666412055492,80,Emergency,Housing
